id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
9807529,Rental unit in Montréal · ★4.54 · 1 bedroom · 1 bed · 1 bath,1761366,LeQube,,Le Plateau-Mont-Royal,45.52228,-73.57422,Entire home/apt,151,1,127,2023-04-13,1.47,20,285,33,221876,Montreal
9877649,Rental unit in Montréal · 3 bedrooms · 3 beds · 1 bath,15736663,Myriam,,Ville-Marie,45.51685,-73.55541,Entire home/apt,99,31,2,2022-07-22,0.04,14,305,1,,Montreal
12654992,Rental unit in Montréal · ★4.83 · 2 bedrooms · 2 beds · 1 bath,68746814,Annie,,Le Plateau-Mont-Royal,45.52363,-73.57639,Entire home/apt,205,2,274,2023-04-30,3.2,10,157,45,294221,Montreal
13083101,Rental unit in Montréal · ★4.96 · 1 bedroom · 1 bed · 1 bath,60931296,Hermann,,Le Sud-Ouest,45.4949,-73.56016,Entire home/apt,107,90,27,2022-08-16,0.32,1,255,1,,Montreal
12671681,Rental unit in Montréal · ★4.56 · 2 bedrooms · 2 beds · 1 bath,3537545,Bianka,,Le Sud-Ouest,45.48196,-73.58681,Entire home/apt,200,90,9,2019-08-25,0.11,1,0,0,,Montreal
13099154,Rental unit in Montréal · ★4.29 · 1 bedroom · 1 bed · 1 bath,72761895,Samuel,,Ville-Marie,45.49682,-73.58248,Entire home/apt,65,32,24,2023-03-02,0.29,72,314,3,,Montreal
12672962,Rental unit in Montréal · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,28293382,Gaétan,,Le Plateau-Mont-Royal,45.52128,-73.56845,Private room,24,31,77,2020-03-31,0.9,5,0,0,,Montreal
12731078,Serviced apartment in Mont-Royal · 1 bedroom · 1 bed · 1 bath,13826429,Maya,,Mont-Royal,45.51666,-73.65583,Entire home/apt,165,32,2,2018-10-07,0.02,18,365,0,,Montreal
9900954,Condo in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,39616835,Sylvain (Et Elodie),,Rosemont-La Petite-Patrie,45.53633,-73.59288,Entire home/apt,120,12,5,2019-05-27,0.06,1,50,0,313285,Montreal
9907103,Loft in Montréal · ★4.93 · Studio · 1 bed · 1 bath,35533112,Benjamin,,Ville-Marie,45.49803,-73.57586,Entire home/apt,98,90,55,2017-01-06,0.61,1,89,0,,Montreal
13123378,Condo in Montréal · ★4.79 · 1 bedroom · 1 bed · 1 bath,73033893,Julien,,Ville-Marie,45.52193,-73.54971,Entire home/apt,69,31,20,2023-05-01,0.24,1,25,5,,Montreal
9918614,Rental unit in Montréal · ★4.85 · 2 bedrooms · 2 beds · 1 bath,4462156,Florence Et France,,Ville-Marie,45.52154,-73.55915,Entire home/apt,100,119,20,2019-12-24,0.24,8,313,0,,Montreal
12731573,Serviced apartment in Mont-Royal · 1 bedroom · 1 bed · 1 bath,13826429,Maya,,Saint-Laurent,45.51553,-73.65766,Entire home/apt,60,32,2,2019-06-12,0.03,18,365,0,,Montreal
13127079,Rental unit in Montréal · ★4.90 · 3 bedrooms · 5 beds · 2 baths,71535110,Mary&Tony,,Le Plateau-Mont-Royal,45.53715,-73.56191,Entire home/apt,250,1,203,2023-04-23,2.42,2,123,39,294425,Montreal
12732164,Serviced apartment in Mont-Royal · 1 bedroom · 1 bed · 1 bath,13826429,Maya,,Mont-Royal,45.51584,-73.6557,Entire home/apt,60,32,2,2022-07-30,0.03,18,338,1,,Montreal
9926531,Rental unit in Montréal · ★4.83 · Studio · 2 beds · 1 bath,12486923,Camille,,Rosemont-La Petite-Patrie,45.54063,-73.60103,Entire home/apt,29,32,6,2017-08-19,0.07,1,0,0,,Montreal
