id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
14819187.0,Beautiful ground floor suite by Uptown Victoria,91681554,Beca,Saanich,Saanich,48.45036,-123.38166,Entire home/apt,250,1,60,2023-03-09,0.76,1,300,9,,Victoria
14823969.0,Lilypad Studio,92687141,Liz,Langford,Langford,48.45229,-123.54484,Private room,85,1,44,2022-10-09,0.55,1,72,18,,Victoria
14840135.0,Heart of Downtown Victoria (clean & comfortable),82883135,Warren,Victoria,Downtown,48.42863,-123.36649,Entire home/apt,166,5,151,2023-02-27,1.89,1,80,17,,Victoria
14844413.0,"2 BDR Suite, Ocean side beach/dock, Vancouver Isle",92157994,Sarah,Central Saanich,Central Saanich,48.5776,-123.46596,Entire home/apt,175,2,166,2023-03-24,2.13,2,166,42,,Victoria
14871976.0,Victorian Suite - Near University of Victoria,57689777,Kaori,Saanich,Saanich,48.46595,-123.3402,Entire home/apt,98,28,63,2022-08-31,0.8,2,108,10,,Victoria
14892145.0,Beautiful Saanich Cottage,93438222,Steve,Saanich,Saanich,48.52674,-123.41842,Entire home/apt,110,30,154,2021-11-14,2.14,2,0,0,,Victoria
14912799.0,Ocean View King Bed Parking Fireplace Tea/Coffee++,58658923,Marie,Esquimalt,Esquimalt,48.4307,-123.40355,Entire home/apt,15,2,42,2019-08-11,0.53,1,0,0,,Victoria
14947282.0,"Cheerful, bright house with idyllic backyard.",94057983,Adrian,Saanich,Saanich,48.4520016,-123.4034872,Entire home/apt,120,14,2,2022-08-31,0.25,3,0,2,,Victoria
14952116.0,Colwood Cosy Cottage,92486329,Sarah,Colwood,Colwood,48.42151,-123.49168,Entire home/apt,101,2,72,2022-12-16,0.91,1,135,8,,Victoria
14953094.0,Bear Mountain Getaway,94123085,Heather,Langford,Langford,48.47708,-123.52502,Private room,115,1,114,2022-10-23,1.44,1,316,8,,Victoria
14966485.0,"Spectacular Ocean View Cottage, Port Renfrew",54136559,Denise,Juan de Fuca,Juan de Fuca,48.55404,-124.41595,Entire home/apt,300,1,182,2023-02-15,2.31,1,221,38,,Victoria
15026125.0,Rosie's Studio,74541020,Trish,Salt Spring Island,Salt Spring Island,48.7501,-123.46017,Entire home/apt,269,2,202,2023-03-21,2.54,1,338,31,,Victoria
15040911.0,Astoria Cozy-Beautiful Studio Condo in the Heart of Downtown Victoria,40529437,Victoria Prime Services,Victoria,Downtown,48.4208,-123.36363,Entire home/apt,128,3,64,2022-09-05,0.9,49,270,9,,Victoria
15060878.0,Centrally located one bedroom suite.,95222782,Robert,Central Saanich,Central Saanich,48.55851,-123.39526,Entire home/apt,105,1,287,2023-03-23,3.61,1,0,6,,Victoria
15086474.0,Blue Sky Retreat at Lookout Lake,95475864,Doug & Rick,Colwood,Colwood,48.41725,-123.51147,Entire home/apt,113,1,266,2023-03-17,4.5,1,281,59,,Victoria
15109059.0,Sidney The Place,90726114,Terry,Sidney,Sidney,48.64871,-123.40009,Entire home/apt,90,2,98,2023-03-13,1.27,3,293,5,,Victoria
15110263.0,Victoria Garden Suite,21468224,Logan,Victoria,Fairfield,48.41415,-123.34678,Entire home/apt,110,30,59,2023-02-20,0.8,5,272,5,,Victoria
15127623.0,Cozy converted Barn near Orchard,59069557,Christy,Saanich,Saanich,48.53543,-123.41526,Entire home/apt,225,2,101,2023-03-05,1.33,1,158,16,,Victoria
15151262.0,Luxury heritage downtown condo 40% off long term,37449412,David,Victoria,Downtown,48.42869,-123.3668,Entire home/apt,179,30,229,2022-12-22,2.91,1,80,3,,Victoria
15158242.0,Peaceful Heritage Home at Elk Lake,96168636,Jacqueline Ruth  (Jacky),Saanich,Saanich,48.52983,-123.38624,Entire home/apt,100,3,186,2023-03-06,2.35,2,241,19,,Victoria
15160430.0,Sooke Cedar House - Everett Suite,96184204,Gerry And Debbie,Sooke,Sooke,48.38973,-123.6473,Entire home/apt,159,2,144,2023-03-16,2.01,2,316,35,,Victoria
15161155.0,Sooke Cedar House - Aletheia Suite,96184204,Gerry And Debbie,Sooke,Sooke,48.38772,-123.64766,Entire home/apt,189,2,147,2023-03-19,2.03,2,303,27,,Victoria
15256969.0,Fish 'n surf cottage.,97039222,Ernie,Juan de Fuca,Juan de Fuca,48.55743,-124.406,Entire home/apt,235,2,122,2023-03-19,1.55,1,305,5,,Victoria
15268338.0,The Cottage at Sugarland Farm,23721354,Gunther And Cheryl,Salt Spring Island,Salt Spring Island,48.87652,-123.5636,Entire home/apt,200,2,159,2022-09-25,2.01,1,2,13,,Victoria
15296700.0,#19 - Boutique 1 bedroom apartment - sleeps  4.,3827344,Jose,Victoria,Oaklands,48.444,-123.34002,Entire home/apt,150,28,17,2022-08-31,0.22,14,193,4,,Victoria
15406109.0,Oasis for families Affordable Luxury Privacy Yard!,7449764,Fernanda,Saanich,Saanich,48.49016,-123.32294,Entire home/apt,277,2,23,2022-09-04,0.29,2,363,12,,Victoria
15423675.0,Colquitz Garden Suite,98515827,Zenon,Saanich,Saanich,48.45568,-123.41237,Entire home/apt,99,1,257,2023-03-15,3.27,2,175,31,,Victoria
15501430.0,"3-bedrooms, Estevan Village, Willows Beach Oak Bay",976326,Sarah,Oak Bay,Oak Bay,48.4381,-123.30769,Entire home/apt,300,14,7,2019-08-03,0.11,1,16,0,,Victoria
15630192.0,Salish Seaview Suite,2375062,John,Victoria,Oaklands,48.43793,-123.34907,Entire home/apt,280,30,3,2022-04-12,0.04,6,275,1,,Victoria
15634561.0,The Napoleon Suite - 2BD/1BA -Licence #00035238,19980320,Radie,Victoria,Downtown,48.42668,-123.36274,Entire home/apt,162,1,42,2023-03-19,0.54,22,82,9,,Victoria
15642981.0,Christmas Hill Cottage with a Private Room,78468109,John & Janis,Saanich,Saanich,48.47697,-123.37518,Private room,135,1,45,2022-10-16,0.58,2,78,14,,Victoria
15702705.0,Bear Mountain Get-Away,35478428,Emily,Langford,Langford,48.4662,-123.5241,Entire home/apt,120,3,3,2023-02-22,0.98,1,265,3,,Victoria
15746238.0,Heritage Getaway Garden Suite,97401883,Jake,Victoria,Burnside,48.44549,-123.38298,Entire home/apt,130,5,57,2019-07-17,0.73,7,36,0,,Victoria
15759885.0,"Cozy suite, short walk to Sidney main St. & beach",17129074,Sandy,Sidney,Sidney,48.64717,-123.39656,Entire home/apt,89,5,61,2022-12-31,0.8,1,2,7,,Victoria
15788110.0,Beautiful character suite in garden setting,3687769,Troy,Esquimalt,Esquimalt,48.43249,-123.40386,Entire home/apt,126,3,12,2023-03-15,0.47,5,325,4,,Victoria
15792611.0,"Mulberry Cottage, Hot-tub, Self-Contained, Quaint",14387287,Jo-Ann,Saanich,Saanich,48.52052,-123.38348,Entire home/apt,140,2,20,2023-01-01,0.27,1,93,2,,Victoria
