id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54377769,🏙LUXE CITYSCAPE 🏙  💎 20FT BALCONY• CN TOWER VIEWS💎,60144392,AMG Luxe,,Waterfront Communities-The Island,43.64108,-79.38301,Entire home/apt,325,28,8,2022-10-30,0.63,11,67,7,STR-2111-GQYDVG
54144245,Cozy room 5/walk out basement/private room,164469834,Shilling,,Don Valley Village,43.77886,-79.35902,Private room,64,28,44,2023-02-03,3.07,6,221,38,STR-2109-GRHPHG
54144956,Cabbagetown-large 2 bedroom in old Victorian home,13997844,Sharon,,Moss Park,43.6610908508301,-79.3707504272461,Entire home/apt,150,28,25,2023-01-23,1.76,1,0,18,STR-2109-GXYBHH
54379393,Private room in condo,259905794,Helen,,Banbury-Don Mills,43.72769,-79.3283,Private room,60,28,2,2022-09-02,0.17,3,36,2,STR-2203-GKMKVF
5.49376635030877E+017,Downtown Toronto City Hall 1-bedroom condo,293738032,Jason,,Bay Street Corridor,43.65087,-79.3812,Entire home/apt,115,30,5,2023-02-05,0.8,2,106,5,
54145162,Trendy Two-Bedroom Apt. In Heart of Dundas/Queen W,476460217,Andrew,,Little Portugal,43.6469255629687,-79.4297161094126,Entire home/apt,375,28,112,2023-01-02,8.08,1,365,96,STR-2207-HCZVHJ
54145899,Cozy 3 br house in a quiet neighbourhood,1007637,Oksana,,Wexford/Maryvale,43.7405,-79.29412,Entire home/apt,167,28,0,,,1,179,0,
54147270,Luxurious 2 bed 2 bath steps to the Park and Lake,164543821,Susan,,High Park-Swansea,43.6460154776227,-79.4546409158657,Entire home/apt,279,3,15,2023-02-21,2.09,2,354,15,STR-2112-FXSDVD
54150218,Modern Bachelor w/ fast WIFI and free parking,425366129,Kosta,,Bayview Woods-Steeles,43.80283,-79.39263,Entire home/apt,142,28,16,2022-11-16,1.13,4,127,12,STR-2112-HZBRVM
5.4941027832527E+017,Cozy 1 Bedroom Condo with Large Patio!,442427133,Frankie,,University,43.66497,-79.40458,Entire home/apt,100,180,1,2022-07-15,0.13,1,68,1,
54391242,Gem on the Hill,441616915,Joseph,,Agincourt South-Malvern West,43.78075,-79.26369,Entire home/apt,75,28,3,2022-08-31,0.31,1,342,3,
54163023,Open concept 1-bedroom suitable for quarantine,126518500,Alison,,Guildwood,43.75826,-79.17695,Entire home/apt,60,3,13,2022-08-30,0.98,1,6,11,STR-2009-GDCKPF
54164272,Stylish&spacious 1+1 Condo + parking in North York,135429281,Fatima,,Henry Farm,43.77214,-79.34584,Entire home/apt,120,28,0,,,1,256,0,
54396805,Bed & breakfast in a great neighborhood for women,352070607,Sanela,,Clanton Park,43.73419,-79.44639,Private room,75,3,21,2023-01-07,1.57,2,159,17,STR-2201-FMVRVC
54396929,Down Davenport Digs- a great lower 1 bedroom apt,1410170,Deborah,,Wychwood,43.67537,-79.42117,Entire home/apt,85,28,1,2022-04-30,0.1,2,272,1,
54398342,Cozy unit in the trendy Yonge/Eglin neighbourhood,92193875,Alita,,Mount Pleasant West,43.70417,-79.39649,Entire home/apt,150,28,0,,,1,334,0,
54400117,2-Bedroom Basement Unit with Indoor Fireplace,105023019,Sepehr,,Newtonbrook West,43.79,-79.44207,Entire home/apt,126,1,43,2023-03-07,3.86,3,317,43,STR-2201-HGCXVJ
54402181,Charming 2-bedroom unit steps away from Yorkville,61016361,Reza,,Annex,43.67663,-79.39955,Entire home/apt,220,28,20,2022-09-22,1.69,1,312,20,STR-2202-HWVRVL
5.49540931416579E+017,Million Dollar Views Downtown-1 BDRM-FREE PARKING,322262082,Rebecca,,Waterfront Communities-The Island,43.63874,-79.39892,Entire home/apt,125,28,115,2023-01-03,8.63,1,5,101,STR-2201-GWSDVH
5.49553995008754E+017,Luxurious City Apartment,17896017,Shereen,,Stonegate-Queensway,43.62445,-79.50155,Entire home/apt,120,28,3,2022-10-12,0.29,2,364,3,
5.49895040945299E+017,Front Street Central,442511400,Anum,,Waterfront Communities-The Island,43.64315,-79.38849,Entire home/apt,107,31,4,2023-01-08,0.34,1,251,4,
5.50021995107131E+017,Cozy room near airport for long or short term stay,15870632,Max,,Rexdale-Kipling,43.7152,-79.55599,Private room,39,28,1,2022-02-16,0.08,2,0,0,STR-2112-FRBRVC
5.50115359061237E+017,cozy 2 bedroom basement apartment +free parking,293738032,Jason,,L'Amoreaux,43.80393,-79.31683,Entire home/apt,60,30,1,2022-09-30,0.19,2,0,1,
5.50124427806994E+017,Lovely 1-Bedroom Apartment Free Street Parking,193516390,Irena,,Long Branch,43.59729,-79.52693,Entire home/apt,80,28,3,2023-01-03,0.38,3,61,3,
5.50164828364592E+017,Bright spacious room near York University Subway,325656364,Lucy,,York University Heights,43.76652,-79.50288,Private room,99,1,0,,,8,365,0,STR-2010-JDJKPM
5.50165489085123E+017,Warm bright quiet room near York University Subway,325656364,Lucy,,York University Heights,43.76791,-79.50338,Private room,100,1,7,2023-01-07,0.61,8,321,7,STR-2010-JDJKPM
5.50219465821467E+017,"Designer 2Br + Study Condo, ED - CN Tower View",4525751,Kalani,,Waterfront Communities-The Island,43.64373,-79.38835,Entire home/apt,349,28,7,2022-06-08,0.55,12,90,4,STR-2108-HVGHHL
5.50267388603625E+017,2 Bedroom House by beautiful ravine,142287588,Elijah,,Lansing-Westgate,43.75501,-79.41804,Entire home/apt,245,2,12,2022-10-15,1,1,90,12,STR-2202-FZHRVD
5.50641491869574E+017,Classy Industrial Venue ◈ Prime Location & Parking,129499579,Valeria,,South Parkdale,43.6371588,-79.4271204,Entire home/apt,194,1,81,2023-03-08,6.11,2,56,78,STR-2201-HLPRVK
5.50701754808771E+017,Stunning 1 Bedroom Downtown,37507232,Raymond,,Waterfront Communities-The Island,43.64328,-79.38274,Entire home/apt,335,28,7,2022-09-24,0.81,1,89,7,STR-2201-GQBRVG
5.50747976242264E+017,❤️of The Danforth✭Rooftop Deck✭Netflix✭W/D✭Kitchen,281495688,William,,Playter Estates-Danforth,43.68205,-79.34774,Entire home/apt,125,28,5,2023-01-04,0.54,4,289,5,
54164433,homewood Queen Bedroom b02,213612,Shiro,,Cabbagetown-South St.James Town,43.66434,-79.37591,Private room,95,28,6,2022-12-18,0.49,21,119,5,
54165000,Lovely warm  home in the heart of Toronto,20374225,Cole,,Greenwood-Coxwell,43.66748,-79.3244,Entire home/apt,141,28,3,2022-08-09,0.24,2,190,2,
54165546,Cheerful private bedroom in basement,439146193,Thubtan,,Eringate-Centennial-West Deane,43.66505,-79.57802,Private room,75,3,5,2023-01-30,1.03,1,83,5,STR-2209-GLWDVG
5.51450163978022E+017,Penthouse Luxury Suite,442823580,Kayla,,Mimico (includes Humber Bay Shores),43.62262,-79.47871,Entire home/apt,800,28,5,2023-01-07,0.46,1,361,5,STR-2201-GHLDVF
54409177,Luxury 1+Den 2Bath  Condo in mid-town Toronto,84263599,Shiva,,Mount Pleasant West,43.7108,-79.39128,Entire home/apt,150,270,0,,,1,358,0,
54181599,Clean and Quiet Private Room,134101557,Benjamin Michael,,South Parkdale,43.63507,-79.42725,Private room,74,1,104,2023-03-02,7.7,3,76,97,STR-2208-HVKHHL
4.98496522000866E+017,Modern Downtown Condo Free Parking/ Walk to Lake,52269690,Jessica,,Niagara,43.636726,-79.405525,Entire home/apt,373,1,72,2023-01-01,5.55,1,237,66,STR-2202-HMGKVK
