id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
861573518014634933,Townhouse in Bozeman · ★New · 3 bedrooms · 4 beds · 3 baths,104010331,Dream MT,,Bozeman,45.683294,-111.07945,Entire home/apt,0,30,0,,,12,314,0,
861573755545615872,Home in Bozeman · ★New · 3 bedrooms · 4 beds · 2 baths,104010331,Dream MT,,Bozeman,45.683499,-111.05717,Entire home/apt,193,3,0,,,12,302,0,
861755444064563786,Rental unit in Bozeman · ★New · 1 bedroom · 1 bed · 1 bath,4253627,Evelyn,,Bozeman,45.67776,-111.04365,Entire home/apt,189,2,0,,,1,1,0,
863690516487184569,Home in Bozeman · ★New · 1 bedroom · 1 bed · 1.5 baths,32162998,Sarah,,Bozeman,45.68712,-111.06688,Entire home/apt,98,1,0,,,2,1,0,
866743704687717653,Condo in Bozeman · ★New · 2 bedrooms · 3 beds · 1 bath,87300632,Liz,,Bozeman,45.6866,-111.04353,Entire home/apt,171,2,1,2023-04-30,1,4,333,1,
868764892737614986,Home in Bozeman · ★New · 3 bedrooms · 3 beds · 4 baths,22366054,Tessa,,Bozeman,45.70635794773996,-111.03875537406614,Entire home/apt,298,2,0,,,3,59,0,
869599672855821114,Rental unit in Bozeman · ★New · 1 bedroom · 1 bed · 1 bath,219491,Elinor (Ellie),,Bozeman,45.67824923242976,-111.04694545269012,Entire home/apt,86,1,0,,,3,306,0,
871253472812827687,Rental unit in Bozeman · ★New · 1 bedroom · 1 bed · 1.5 baths,370426746,Kelsey,,Bozeman,45.70167,-111.07248,Entire home/apt,96,28,0,,,1,198,0,
874123279715996557,Rental unit in Bozeman · ★New · 1 bedroom · 2 beds · 1 bath,18247242,Kevin,,Bozeman,45.65006,-111.07781,Entire home/apt,135,1,1,2023-05-12,1,1,327,1,
874657761125528795,Home in Bozeman · ★New · 3 bedrooms · 3 beds · 3 baths,10719166,Ted And Ann Marie,,Bozeman,45.68782,-111.10839,Entire home/apt,255,2,0,,,4,311,0,
875521839496363904,Home in Bozeman · ★New · 4 bedrooms · 6 beds · 3.5 baths,4884278,Kate,,Bozeman,45.67812,-111.04504,Entire home/apt,300,30,0,,,1,220,0,
