id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
42386189.0,Kitchen / Parking / Wifi ✸ Walk to High St Studio,325932974,Marc And Darius,,Near North/University,39.99692,-83.00494,Entire home/apt,50,1,51,2022-11-19,1.36,24,170,14,2020-1198,Columbus
42389362.0,Charming 2Bedroom Townhouse - Old Town East,4114228,David,,Near East,39.9630012512207,-82.9692459106445,Entire home/apt,105,2,35,2023-03-22,0.93,2,84,14,2020-1248,Columbus
42450518.0,Clintonville Community Home,26958698,Benjamin,,Clintonville,40.03959,-83.01355,Entire home/apt,152,1,56,2023-02-15,1.5,55,362,16,2022-3274,Columbus
42519931.0,GermanVillage_Private Parking Children'sHospital D,249951812,Jessie,,Near South,39.94912,-82.98491,Entire home/apt,86,1,149,2023-03-13,3.98,20,109,54,2023-2510,Columbus
42563769.0,Private Southern Orchards Carriage House,257425301,Aaron,,Near South,39.94407,-82.97287,Entire home/apt,140,2,70,2023-03-05,1.89,1,81,12,2020-1260,Columbus
42584546.0,GermanVillage_Private Parking Children'sHospital C,249951812,Jessie,,Near South,39.94771,-82.98381,Entire home/apt,86,1,118,2023-03-20,3.19,20,102,33,2023-2509,Columbus
42635466.0,German Village Pied à Terre,483306,Audra & Lacey,,Near South,39.94372,-82.98988,Entire home/apt,97,1,267,2023-03-25,7.23,3,166,77,2022-2486,Columbus
42693464.0,4Bd Close to Quarterhorse/ OSU / Glen Echo,30606435,Katie,,Near North/University,40.0185,-83.00243,Entire home/apt,158,3,106,2023-03-26,2.87,1,314,36,2020-1239,Columbus
42732936.0,The Guston Place - Modern Ranch Living,188365764,Ronnie,,Rocky Fork-Blacklick,40.06137,-82.86748,Entire home/apt,107,30,12,2022-12-18,0.34,2,302,4,,Columbus
42761947.0,The Jazz and Blues Executive Mansion on Miami,177205580,Adrian,,Near East,39.96688,-82.97636,Entire home/apt,296,3,2,2023-03-26,2.0,11,228,2,2023-2065,Columbus
43102007.0,LUXURY 1BR APARTMENT NEAR HEART OF COLUMBUS,158439641,GH Hospitality,,Downtown,39.95733,-82.99515,Entire home/apt,81,2,81,2023-02-26,2.26,97,350,32,2022-3359,Columbus
43103310.0,New Condo ❤ of Short North & Free Parking,2994567,Mark,,Near North/University,39.97422,-83.00418,Entire home/apt,137,1,9,2022-06-12,0.53,9,157,6,2021-1496,Columbus
43109928.0,GORGEOUS 1BR APARTMENT I GYM + FREE PARK,158439641,GH Hospitality,,Downtown,39.95668,-82.99512,Entire home/apt,78,2,95,2023-03-19,2.68,97,359,32,2022-3361,Columbus
43110099.0,BEAUTIFUL ONE BEDROOM APARTMENT IN THE HEART OF CO,158439641,GH Hospitality,,Downtown,39.95678,-82.99315,Entire home/apt,77,2,90,2023-03-16,2.5,97,353,35,2022-3363,Columbus
