id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7.4340788755123E+017,Spacious Private Room in Quiet Neighborhood,13270940,Jeff,,South Chicago,41.73804,-87.5663,Private room,40,2,1,2022-12-25,0.35,3,363,1,R22000090299
7.43543051991312E+017,En-Suite Baths+King Beds+Garage Spot+Laundry+Deck,171717935,Erin,,Jefferson Park,41.9780246,-87.7874679,Entire home/apt,218,3,6,2023-03-06,2.34,3,150,6,R22000091826
7.5571540194881E+017,Great Location! Modern APT near Univ. of Chicago,485565209,Rabeeha,,Hyde Park,41.801485,-87.598551,Entire home/apt,233,2,2,2023-02-02,0.85,8,328,2,R21000060516
7.43555487125395E+017,McCormick Downtown #23 | 2bd/2ba (+Gym&Rooftop),98193524,Mary And JW,,Near South Side,41.85302,-87.62569,Entire home/apt,203,2,3,2023-03-14,0.75,27,0,3,R22000081316
7.43588436246625E+017,Romantic 1 bedroom with Floor to Ceiling views!,205065349,Gold Coast,,Near North Side,41.89229,-87.62126,Entire home/apt,421,3,1,2022-11-25,0.26,2,89,1,R22000089019
7.5002182459968E+017,Full Cozy And Private Basement Floor.,230812904,Dede,,Uptown,41.96405,-87.66997,Private room,96,3,6,2022-12-26,1.4,1,225,6,R22000085480
7.50095186216382E+017,Fully Furnished Private Bedroom in 2 Bedroom Condo,3269423,Gregory,,West Town,41.90331,-87.6889,Private room,60,32,0,,,2,76,0,
7.50183204838183E+017,McCormick Place homie 3BR/2BA/Opt Parking/sleeps 6,370154553,Innesa,,Near South Side,41.85627,-87.62778,Entire home/apt,278,2,3,2023-02-18,0.68,16,337,3,2792126
7.43605314270853E+017,"Close to Wrigley, full furnished studio",252408635,Andie,,Uptown,41.95561,-87.65178,Entire home/apt,87,1,2,2022-12-12,0.45,31,358,2,2845517
7.43856813826832E+017,"Spacious Private Bedroom, No1 Location @Gold Coast",352627300,Azhar,,Near North Side,41.89611,-87.62959,Private room,103,1,6,2023-01-30,1.24,3,21,6,R21000063283
7.55724821724905E+017,Spacious 3 Bedroom Home in Chicago Rogers Park,479706697,Armando,,Rogers Park,42.0008228,-87.6707466,Entire home/apt,116,5,5,2023-03-03,1.27,4,326,5,R22000079785
7.44084115528123E+017,"Light and bright 3BD duplex in Avondale, Chicago",55724046,Sean,,Avondale,41.9333913,-87.6892084,Entire home/apt,144,2,7,2023-03-11,4.88,1,319,7,R22000093464
7.44247432676799E+017,Modern 2 Bedroom apartment in Jefferson park,53762710,Monica,,Jefferson Park,41.98181,-87.77898,Entire home/apt,200,10,1,2023-01-06,0.41,1,353,1,R22000094345
7.50207467391041E+017,McCormick Place 420 friendly 2BR/parking/sleeps 6,370154553,Innesa,,Near South Side,41.85431,-87.62583,Entire home/apt,247,2,12,2023-03-12,2.86,16,324,12,2792126
7.50586330865355E+017,"Loop 2br w/ lounge & roof, nr Riverwalk",107434423,Blueground,,Loop,41.885569,-87.6347367,Entire home/apt,221,32,0,,,658,198,0,
7.55746084290453E+017,Edgewater Beach Home Steps to the Lake,486898314,Nicole And Ryan,,Edgewater,41.9799,-87.65779,Entire home/apt,700,3,1,2023-02-19,1,1,221,1,R22000084274
7.50635726221316E+017,Wrigleyville Oasis with Huge Garage,1676552,Erika,,Lake View,41.95155,-87.6558908,Entire home/apt,189,3,1,2023-02-01,0.64,3,276,1,R23000097390
7.5071737927403E+017,Private 2 bed condo in the heart of the city,206009013,Maximillian,,Lake View,41.9341,-87.65278,Entire home/apt,157,1,4,2023-03-12,0.92,2,194,4,R22000091917
7.44317751645139E+017,"Studio Apartment w/ In-Unit Laundry, Near Shops!",480341243,Ash,,Uptown,41.9626,-87.65145,Entire home/apt,61,1,19,2023-03-13,4.49,10,180,19,R22000093888
7.44608589618272E+017,"3B/3BA Luxury Glass Apartment With Views, Pool, &",37190789,Jason,,Near West Side,41.88596,-87.64603,Entire home/apt,370,3,8,2023-03-12,1.79,7,170,8,R22000091111
7.55749994950695E+017,Great Location! Cozy 3BR Garden Unit in Hyde Park,485565209,Rabeeha,,Hyde Park,41.80042,-87.59747,Entire home/apt,147,2,6,2023-03-04,1.71,8,343,6,R21000060516
7.44664821738228E+017,"Gold Coast 2br w/ gym & lounge, 1 block to L",107434423,Blueground,,Near North Side,41.898904,-87.62797,Entire home/apt,210,32,0,,,658,300,0,
7.4466547475663E+017,"River North 1br w/ gym, pool & roof, nr Riverwalk",107434423,Blueground,,Near North Side,41.890516,-87.635955,Entire home/apt,189,32,0,,,658,0,0,
7.44665972389841E+017,"Loop 2br w/ gym, pool & w/d, nr Willis Tower",107434423,Blueground,,Loop,41.8811213,-87.6319955,Entire home/apt,213,32,0,,,658,235,0,
7.44804877332799E+017,Spacious 3 Bed/2 Bath Duplex,409137639,Heidy,,Irving Park,41.94561,-87.73787,Entire home/apt,124,2,5,2023-01-09,1.18,2,0,5,R22000091943
7.51190824644087E+017,"Streeterville 1br w/ pool, roof & gym nr lakefront",107434423,Blueground,,Near North Side,41.8982543,-87.6186746,Entire home/apt,174,32,0,,,658,280,0,
7.51191215398206E+017,"Streeterville 1br w/ pool, roof & gym nr lakefront",107434423,Blueground,,Near North Side,41.8982543,-87.6186746,Entire home/apt,169,32,0,,,658,323,0,
7.51191497780326E+017,"Loop 2br w/ gym, pool & w/d, nr Willis Tower",107434423,Blueground,,Loop,41.8811213,-87.6319955,Entire home/apt,245,32,0,,,658,0,0,
7.51281751843148E+017,Home Base 2.0 Near O'Hare and Rosemont,158948610,Michael,,Jefferson Park,41.9736,-87.78664,Private room,46,1,4,2023-03-13,1.07,3,355,4,R22000090317
7.55760324367659E+017,Lovely two bedroom condo with pool,183630900,Kimberly,,Near North Side,41.89487,-87.62761,Entire home/apt,203,33,0,,,1,358,0,
7.51379612278165E+017,Cozy 2 brm apartment mins away from United Center,112794359,Dominique,,East Garfield Park,41.88073,-87.69679,Entire home/apt,164,1,3,2023-03-14,0.71,1,244,3,R22000092072
7.44883162640629E+017,Posh Penthouse in South Loop,158913952,Victoria,,Near South Side,41.85937,-87.6247,Private room,90,60,0,,,1,358,0,
7.44889179453189E+017,Mesmerizing Studio with a free Parking Spot!,191522990,Nala & Owen,,Portage Park,41.95986,-87.75396,Entire home/apt,39,1,22,2023-03-10,6.8,16,340,22,R22000086609
7.4493564894887E+017,Chicago Rental - Vernon Ave,476956265,Leslie,,Chatham,41.7473,-87.61277,Entire home/apt,299,32,0,,,5,90,0,R19000048100
7.55789541680783E+017,"Luxury Modern, Fast Wi-Fi, POOL, Huge GYM, KingBed",483201459,Joshua,,Near North Side,41.9040204,-87.6326926,Entire home/apt,133,32,1,2023-01-14,0.46,3,221,1,
7.44949323107287E+017,Chicago Rental - W Berwyn Ave,476956265,Leslie,,Norwood Park,41.97724,-87.80679,Entire home/apt,399,32,1,2022-12-29,0.37,5,90,1,R19000048100
7.44956512166165E+017,Exclusive and Spacious Pilsen Guest House,191522990,Nala & Owen,,Lower West Side,41.85938,-87.66399,Entire home/apt,49,1,31,2023-03-16,6.79,16,284,31,R22000090732
7.51408979157217E+017,Lovely Garden Studio in Chicago,486064025,Vlad,,Grand Boulevard,41.81483,-87.61829,Entire home/apt,110,2,21,2023-03-15,5,1,23,21,R22000087642
7.51413263415002E+017,Modern 1- bedroom with access to GYM and Lounge!,356621073,Izzy,,Near South Side,41.85339,-87.62442,Entire home/apt,182,1,19,2023-03-13,4.32,2,249,19,R22000091733
7.51421283642091E+017,McCormick Pl 420 friendly 2br/2ba parking/sleeps 6,370154553,Innesa,,Near South Side,41.85408,-87.62707,Entire home/apt,262,2,13,2023-03-16,3.2,16,362,13,2792126
7.44981670669871E+017,Duo Charming Condos Near DT-McCormick-Wintrust,17888170,MiLo And Chandra,,Armour Square,41.85343,-87.63722,Entire home/apt,800,32,0,,,7,10,0,R22000091438
7.44991031118934E+017,Logan Square’s Garden apt style rental,484939892,Desiree,,Logan Square,41.91886,-87.71955,Entire home/apt,101,2,6,2023-03-18,2.86,1,258,6,R23000095453
7.4499142215254E+017,Trio Charming Condos Near DT-McCormick-Wintrust,17888170,MiLo And Chandra,,Armour Square,41.85302,-87.63672,Entire home/apt,1200,32,0,,,7,24,0,R22000091438
