id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5.84115475236654E+017,Heart Of Columbus House - 4 Bed Great Location,26958698,Benjamin,,Near North/University,39.98279,-83.01979,Entire home/apt,179,1,25,2023-03-05,2,55,358,23,2022-1330
5.84623197569674E+017,Downtown Apt in the Heart of Columbus,224493353,Dom,,Downtown,39.95865,-82.99902,Entire home/apt,112,2,29,2023-03-19,2.35,19,346,27,2023-6145
5.85305509270162E+017,Frontdesk | 1 BR Downtown,253828606,Frontdesk,,Franklinton,39.958565,-83.014946,Entire home/apt,82,30,21,2023-03-12,1.99,25,354,21,2022-1263
5.85307483905416E+017,Frontdesk | Bright 1 BR Downtown,253828606,Frontdesk,,Franklinton,39.958565,-83.014946,Entire home/apt,82,30,51,2023-03-17,4.35,25,359,51,2022-1264
5.85373097981699E+017,CONVENIENT 4 BD OSU CONDO WITH *FREE PARKING*,158439641,GH Hospitality,,Near North/University,39.99698,-82.99909,Entire home/apt,148,2,17,2023-03-19,1.39,97,355,16,2022-1371
5.86028535274854E+017,Cozy City Weekender w/ Hot Tub,80260860,Carissa,,West Olentangy,39.99023,-83.04898,Entire home/apt,250,1,23,2023-03-20,2.41,1,310,23,2022-1688
5.86935057426011E+017,Private room in eclectic home near Short North/OSU,24519205,Darrin,,Near North/University,39.99247,-83.01235,Private room,29,1,12,2022-12-19,0.98,4,0,12,2019-1234
5.87446329704103E+017,Newly Remodeled 2 BR Near Downtown and Children’s,450584310,Ynm Realty,,Near East,39.95622,-82.95711,Entire home/apt,115,3,28,2023-03-06,2.29,3,87,27,2021-3460
5.88106727693986E+017,Cheerful 3-bedroom home with free parking,390002212,James,,Eastmoor/Walnut Ridge,39.975296,-82.914162,Entire home/apt,136,3,27,2023-01-22,2.75,1,349,27,2022-1510
5.88369097185627E+017,Cozy Room in Large Centrally Located Home,48511914,Santoria,,Near East,39.97514,-82.96677,Private room,38,14,4,2023-02-15,0.38,8,298,4,2021-2471
5.88415725482097E+017,*NEW* Spacious 1st floor loft-walk to restaurants!,54769683,Annie,,Near North/University,39.98676,-83.00011,Entire home/apt,63,1,56,2023-03-11,4.59,13,170,56,2022-1295
5.88431573307449E+017,Historic Townhouse Near Downtown + German Village,376872758,Aaron,,Near South,39.93762,-82.98239,Entire home/apt,150,2,7,2023-03-13,0.65,7,0,7,2022-1381
5.88432213240413E+017,"Beautiful home, half-acre lot, quiet and natural",187708520,Rick,,North Linden,40.05035,-82.98781,Entire home/apt,123,2,37,2023-03-20,3.75,1,245,37,2022-1515
5.88446540599686E+017,Whittier @ twoXfive 2 Bed Urban Townhouse,376872758,Aaron,,Near South,39.9361,-82.98355,Entire home/apt,157,2,8,2022-11-27,0.69,7,0,8,2022-1382
5.88586238211819E+017,The Buckeye Bungalow - NextE2 Campus &Short North!,115836608,Erich,,Near North/University,39.99157,-83.0137,Entire home/apt,74,3,17,2023-03-17,1.5,26,327,17,2022-1229
5.88622650118379E+017,Large 3 bedroom home north of OSU,2994567,Mark,,Near North/University,40.01589,-83.00839,Entire home/apt,118,14,0,,,9,343,0,2022-1448
5.88920891653789E+017,Renovated 2 bed / 1.5 bath Urban Townhome near NCH,376872758,Aaron,,Near South,39.93768,-82.98201,Entire home/apt,150,2,4,2022-12-23,0.35,7,0,4,2022-1383
5.89020843575435E+017,Short North Columbus Home ~ 1 Mi to Downtown!,121719854,Evolve,,Near North/University,39.97745,-82.99892,Entire home/apt,150,2,17,2023-03-05,1.48,21,321,17,2021-2989
5.89091841106684E+017,Historic Spacious 4 Beds 3 Bath with FREE Parking,437855893,Zoey,,Near East,39.97083,-82.97442,Entire home/apt,230,1,12,2023-02-08,1.06,5,180,12,2022-1464
5.89158025158015E+017,Spacious Cozy Home near Downtown Columbus,29150754,Juli,,Near South,39.94793,-82.95899,Entire home/apt,70,2,4,2023-02-13,0.56,1,351,4,2022-1655
5.89346213753115E+017,Downtown Columbus Apartment,224493353,Dom,,Downtown,39.95863,-83.00053,Entire home/apt,107,2,47,2023-03-19,3.86,19,328,47,2023-9833
5.90066815231206E+017,Cozy & Quaint 2BR Home. Centrally Located Gem!,339425361,Bryan,,Near North/University,40.01411,-83.00798,Entire home/apt,113,1,58,2023-03-20,5.47,1,336,58,2022-1456
5.91367825481735E+017,Penthouse Short North Studio & Free Parking,2994567,Mark,,Near North/University,39.97537,-83.00379,Entire home/apt,132,7,12,2023-02-19,1,9,95,12,2022-1455
5.93373492153415E+017,Modern King 1BR Near OSU | Free Garage Parking | Balcony | Fast WiFi | Gym!,27280979,Jesse,,West Olentangy,40.01976,-83.02669,Entire home/apt,155,30,2,2022-12-07,0.3,19,317,2,
5.93930365878918E+017,Historic 6 bedroom home in Olde Towne East,310700304,Julie,,Near East,39.96178,-82.96633,Entire home/apt,297,2,35,2023-03-12,3.1,1,201,35,2022-1419
5.94072726230379E+017,Historic German Village Charmer!,12622561,Kevin,,Near South,39.94802,-82.99564,Entire home/apt,250,2,18,2023-03-19,1.99,1,169,18,2022-1696
5.94334031611461E+017,The Discovery House,26958698,Benjamin,,Downtown,39.9631,-82.98511,Entire home/apt,150,1,11,2023-03-18,1.02,55,0,11,2021-2961
5.9544672209185E+017,OSU Campus/Fairgrounds 1 BR 2 BD 2 BA efficiency,263332917,Kurt,,Near North/University,40.00173,-83.00087,Entire home/apt,76,2,42,2023-03-26,3.58,3,143,42,2022-1071
5.95627783369525E+017,★Queen Bed ★Riverside Hospital and OSU★COTA/CABS ★,41002453,Jerry,,West Olentangy,40.0219,-83.03384,Private room,48,2,31,2023-03-04,2.58,11,365,31,2021-3155
5.96281106647789E+017,1 private room  vacation home with free parking,441663492,Foromo,,Far South,39.87495,-82.98182,Private room,86,2,8,2022-11-20,0.71,2,90,8,2022-1340
5.96376922447335E+017,"Modern luxury-Nationwide Children’s, self check-in",452416898,Omowumi,,Near South,39.94912,-82.97974,Entire home/apt,129,2,8,2022-11-27,0.9,1,174,8,2022-1549
5.98505677151175E+017,Take and tow or have it delivered RV.,40026410,Jamie,,Clintonville,40.06096,-83.00213,Entire home/apt,55,1,2,2022-09-11,0.24,4,331,2,2022-1490
5.98794217322338E+017,Private Yard | Fast Wi-Fi | Stocked Kitchen,452955353,Jessica,,Near East,39.97135,-82.96131,Entire home/apt,124,3,20,2023-01-28,1.81,1,173,20,2022-1421
5.99412324230508E+017,Vibrant 3 Bedroom Home | Close to OSU & Downtown,78923300,Jonathon,,West Olentangy,39.98799,-83.05391,Entire home/apt,205,2,30,2023-03-05,2.78,3,334,30,2021-3603
5.99451285613161E+017,First Class 4 Bedroom Home,191916098,Jami,,Near East,39.95687,-82.97343,Entire home/apt,188,2,33,2023-03-26,2.92,6,312,33,2023-2589
5.99547888529837E+017,Cheerful 1-Ensuite Master bedroom in lovely home,453119612,Delphine,,Near South,39.94744,-82.97895,Private room,110,1,11,2022-11-13,0.97,5,365,11,2022-1596
6.00654366647947E+017,No Cleaning Fee-Renovated home w/ easy access,205803243,Ashley And Clint,,Northeast,40.04879,-82.90052,Entire home/apt,184,2,28,2023-03-19,2.48,1,84,28,2022-1598
6.02902840770562E+017,Arena District Suite w/FREE Parking & Rooftop Deck,351259250,Jennifer,,Downtown,39.96706,-83.00014,Entire home/apt,151,1,65,2023-03-26,5.69,4,346,65,2023-0123
6.03676852473798E+017,Fenced in Patio | Washer & Dryer | Walkable,8963103,Sarah,,Near South,39.93942,-82.99495,Entire home/apt,91,1,50,2022-12-29,4.53,22,161,50,2022-1537
6.03727058615851E+017,3 Bedroom near The Shoe- Newly remodeled,453019578,Bryden,,Near North/University,40.00621,-83.01104,Entire home/apt,126,2,15,2023-03-12,1.42,32,118,15,2022-1991
6.03821235116439E+017,Lovely 1 private room  with free parking,441663492,Foromo,,Far South,39.875,-82.98278,Private room,86,2,1,2022-04-15,0.09,2,90,1,2022-1340
6.04540492594396E+017,NEW Pond-View 2BR/2BA | New Albany area | Washer + Dryer | Fast WiFi!,27280979,Jesse,,Rocky Fork-Blacklick,40.05582,-82.84514,Entire home/apt,189,30,0,,,19,365,0,
6.05840720309727E+017,Stylish long-term stay - walk to downtown,234806011,Jordan,,Near East,39.96846,-82.97897,Entire home/apt,100,30,1,2022-12-19,0.3,3,345,1,2022-1597
6.06507404364535E+017,Private Patio/Parking/Printer/Office/Laundry,51250266,Alina,,Near North/University,39.98006,-83.01322,Entire home/apt,180,14,11,2023-02-25,1.09,1,208,11,2022-1738
6.06576471842153E+017,Schumacher's Gem Historic Home wth Hot Tub & Study,454599740,Oleksandr,,Near South,39.94266,-82.98921,Entire home/apt,180,1,107,2023-03-26,9.85,1,294,107,2023-2287
6.0742767659955E+017,"Updated home close to all Cbus, cook's kitchen!",398764508,Rayna,,North Linden,40.02635,-82.96662,Entire home/apt,85,30,1,2023-03-15,1,4,355,1,
6.0780783190351E+017,"Spacious Home 5bd/3bth near OSU, Stadium & Expo",426481609,Sherry,,Near North/University,40.01581,-83.00311,Entire home/apt,136,1,43,2023-03-20,3.81,6,62,43,2021-2074
6.07854544774497E+017,Mid-century home on a quiet street with backyard,88414346,Vincent,,Near North/University,39.9872347802193,-83.0016292318873,Entire home/apt,382,2,0,,,1,352,0,2023-2078
6.07855428134774E+017,"Light & Bright 4 Bed, Private Parking/yard/hot tub",455221068,Mark,,West Olentangy,40.03354,-83.03518,Entire home/apt,268,1,20,2023-03-19,1.83,10,154,20,2022-1635
6.08078312537046E+017,Near to Ohio State | Riverside & James Cancer Hosp,64758764,Laura,,West Olentangy,40.0218386,-83.0401443,Entire home/apt,232,1,4,2023-03-19,3.16,1,314,4,2023-2429
6.08155123006032E+017,Trendy Short North Townhome w/ free parking,113854004,Kelsey,,Near North/University,39.98266,-82.99789,Entire home/apt,125,2,48,2023-03-19,4.25,1,321,48,2022-1556
6.08637562368631E+017,"The Clintonville Cove - Quaint, Newly Remodeled",24697700,Alex And Boris,,Clintonville,40.02224,-82.99896,Entire home/apt,206,1,46,2023-01-12,4.5,1,86,46,2022-1683
6.08666179940236E+017,German Village Home With Private Parking!,149742461,Corey,,Near South,39.93782,-82.99482,Entire home/apt,107,1,60,2023-03-19,5.44,17,65,60,2022-1344
6.08668165929901E+017,Dennison Destination -Stylish First Floor Condo,345450411,Evan,,Near North/University,39.9877,-83.00872,Entire home/apt,115,2,37,2023-03-18,3.26,15,167,37,2022-1472
6.08804981238969E+017,Welcome to the Tecumseh! Prime Short North Living!,455081591,Scott,,Near North/University,39.98138,-83.00227,Entire home/apt,182,2,51,2023-03-26,4.61,1,136,51,2022-1420
6.09691426245171E+017,Spectacular 2-Bedroom in a 4-Bedroom House,453119612,Delphine,,Near South,39.94749,-82.97888,Private room,140,1,13,2023-02-11,1.2,5,354,13,2022-1596
6.1021369264305E+017,STUNNING ITALIAN VILLAGE NEW BUILD W/ TERRACE!,107290958,Joel,,Near North/University,39.98311,-82.99631,Entire home/apt,296,2,37,2023-03-19,3.27,6,314,37,2022-2198
6.1070648846093E+017,CHEERFUL *NEW* 4 BR HOME IN FRANKLINTON +FREE PARK,158439641,GH Hospitality,,Franklinton,39.95657,-83.03469,Entire home/apt,164,1,20,2023-03-17,1.92,97,361,20,2022-1371
6.11429212138985E+017,Housepitality - The Eastern Abode - 3 BR - 4 BED,26958698,Benjamin,,Near East,39.95505,-82.95425,Entire home/apt,132,1,22,2023-03-02,1.95,55,360,22,2022-1611
6.12299647411657E+017,"Huge Luxury Guesthouse Loft
Hideout in plain sight",451246444,Michael,,Near East,39.96727,-82.96736,Entire home/apt,248,1,1,2022-05-01,0.09,1,363,1,2022-1233
6.12475286669227E+017,Downtown Luxury Apartment,224493353,Dom,,Downtown,39.95822,-82.99914,Entire home/apt,112,2,12,2023-02-05,1.07,19,340,12,2023-3498
